city,company_size,position,level,experience,raise_period,office,hybrid,remote,mean_salary,JavaScript / TypeScript and related frameworks,C# / .NET,Java and related frameworks,Python,PHP,"C, C++",Kotlin,Swift,Golang,Flutter
0,1,Frontend Development,2,3,2.0,no,no,yes,3027,1,0,1,0,0,0,0,0,0,0
1,1,Executive Roles,3,8,2.0,no,no,yes,3804,1,1,1,0,0,0,0,0,0,0
1,1,Backend Development,2,3,2.0,no,no,yes,2313,0,0,1,0,0,0,0,0,0,0
1,1,Full Stack Development,3,4,1.0,no,no,yes,1041,1,0,0,0,0,0,0,0,0,0
1,1,Backend Development,2,4,2.0,no,no,yes,3499,0,0,0,0,0,0,0,0,0,0
0,1,Software Development,1,1,1.0,no,yes,no,1272,0,0,1,0,0,0,0,0,0,0
1,1,Full Stack Development,2,2,2.0,no,no,yes,1041,1,1,0,0,0,0,0,0,0,0
0,1,Frontend Development,2,3,2.0,no,no,yes,3027,0,0,0,0,0,0,0,0,0,0
1,1,Architectural Roles,3,8,2.0,no,no,yes,4736,0,0,0,0,0,1,0,0,0,0
0,1,Backend Development,2,2,1.0,no,no,yes,1475,1,1,1,0,0,0,0,0,0,0
1,1,Full Stack Development,1,1,0.0,no,yes,no,764,1,1,0,0,0,0,0,0,0,0
1,4,Network Engineering,3,6,2.0,no,yes,no,3612,0,0,0,1,0,0,0,0,0,0
1,2,Data Analysis,1,1,1.0,no,no,yes,1041,0,0,0,0,0,0,0,0,0,0
1,1,Project Management,2,3,2.0,no,no,yes,1041,0,0,0,0,0,0,0,0,0,0
1,1,Full Stack Development,2,2,1.0,no,no,yes,1723,1,0,1,0,0,0,0,0,0,0
1,2,Software Development,3,4,2.0,no,no,yes,2326,0,1,0,0,0,0,0,0,0,0
0,1,Full Stack Development,1,1,1.0,no,yes,no,764,1,0,0,0,0,0,0,0,0,1
0,1,Full Stack Development,2,3,2.0,no,no,yes,2406,1,1,1,0,0,0,0,0,0,0
0,1,Full Stack Development,3,4,2.0,no,no,yes,1537,1,1,1,0,0,0,0,0,0,0
1,1,Full Stack Development,3,8,2.0,no,no,yes,3183,0,1,0,0,0,0,0,0,0,0
1,1,Artificial Intelligence / Machine Learning,1,2,4.0,no,yes,no,1041,0,0,0,1,0,0,0,0,0,0
1,1,Full Stack Development,3,5,2.0,no,no,yes,3027,0,1,0,0,0,0,0,0,0,0
